SibSp,ParCh,Sibling,Spouse,Parent ,Child,Condition,Pas_Sibling,Pas_Spouse,Pas_Parent ,Pas_Child,Pas_Single,Binary,deimal,Type
1,2,0,1,0,2,SibSp == 1 and ParCh == 2,0,1,1,0,0,01100,12,Spouse and Parent
2,2,0,2,0,2,SibSp == 2 and ParCh == 2,0,1,1,0,0,01100,12,Spouse and Parent
2,3,0,2,0,3,SibSp == 2 and ParCh > 2,0,1,1,0,0,01100,12,Spouse and Parent
1,3,0,1,0,3,SibSp == 1 and ParCh > 2,0,1,1,0,0,01100,12,Spouse and Parent
1,2,0,1,1,1,SibSp == 1 and ParCh == 2,0,1,1,1,0,01110,14,Spouse: Parent and Child
2,2,0,2,1,1,SibSp == 2 and ParCh == 2,0,1,1,1,0,01110,14,Spouse: Parent and Child
2,3,0,2,2,1,SibSp == 2 and ParCh > 2,0,1,1,1,0,01110,14,Spouse: Parent and Child
2,3,0,2,1,2,SibSp == 2 and ParCh > 2,0,1,1,1,0,01110,14,Spouse: Parent and Child
1,3,0,1,2,1,SibSp == 1 and ParCh > 2,0,1,1,1,0,01110,14,Spouse: Parent and Child
1,3,0,1,1,2,SibSp == 1 and ParCh > 2,0,1,1,1,0,01110,14,Spouse: Parent and Child
