CardNumber,Model,Series Name,Seating,Type,Brand,Color,Price,Displacement_Type,Fuel Type,Mileage_type,Transmission Type,Airbags,Entertainment,ABS,Center Locking,Child Locking,Steering Adjustment,Keyless Start,Cruise Control,Parking Sensors,Rating
CRD11,Maruti Baleno -Alpha 1.2,Maruti Baleno,Up to 5,Station Wagon,Suzuki,Color,Mid-Range,Medium,Petrol,Medium,Manual,2,Advanced,Yes,Remote,Yes,Tilt and Telescopic,Yes,No,Rear,0
CRD12,Maruti Baleno -Alpha 1.2,Maruti Baleno,Up to 5,Station Wagon,Suzuki,White,Mid-Range,Medium,Petrol,Medium,Manual,2,Advanced,Yes,Remote,Yes,Tilt and Telescopic,Yes,No,Rear,2
CRD13,Maruti Baleno -Delta 1.2,Maruti Baleno,Up to 5,Station Wagon,Suzuki,Black,Mid-Range,Medium,Petrol,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,Rear,6
CRD14,Maruti Baleno -Delta 1.2,Maruti Baleno,Up to 5,Station Wagon,Suzuki,Color,Mid-Range,Medium,Petrol,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,Rear,6
CRD15,Maruti Baleno -Delta 1.2,Maruti Baleno,Up to 5,Station Wagon,Suzuki,White,Mid-Range,Medium,Petrol,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,Rear,0.9
CRD16,Maruti Baleno -Delta 1.2 AT,Maruti Baleno,Up to 5,Station Wagon,Suzuki,Black,Mid-Range,Medium,Petrol,Medium,Automatic,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,Rear,9.5
CRD17,Maruti Baleno -Delta 1.2 AT,Maruti Baleno,Up to 5,Station Wagon,Suzuki,Color,Mid-Range,Medium,Petrol,Medium,Automatic,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,Rear,7.6
CRD18,Maruti Baleno -Delta 1.2 AT,Maruti Baleno,Up to 5,Station Wagon,Suzuki,White,Mid-Range,Medium,Petrol,Medium,Automatic,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,Rear,5.7
CRD19,Maruti Baleno -Sigma 1.2,Maruti Baleno,Up to 5,Station Wagon,Suzuki,Black,Mid-Range,Medium,Petrol,Medium,Manual,2,No,Yes,Manual,No,Tilt,No,No,No,4.5
CRD20,Maruti Baleno -Sigma 1.2,Maruti Baleno,Up to 5,Station Wagon,Suzuki,Color,Mid-Range,Medium,Petrol,Medium,Manual,2,No,Yes,Manual,No,Tilt,No,No,No,5.8
CRD21,Maruti Baleno -Sigma 1.2,Maruti Baleno,Up to 5,Station Wagon,Suzuki,White,Mid-Range,Medium,Petrol,Medium,Manual,2,No,Yes,Manual,No,Tilt,No,No,No,7.5
CRD22,Maruti Baleno -Zeta 1.2,Maruti Baleno,Up to 5,Station Wagon,Suzuki,Black,Mid-Range,Medium,Petrol,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt and Telescopic,Yes,No,Rear,1.1
CRD23,Maruti Baleno -Zeta 1.2,Maruti Baleno,Up to 5,Station Wagon,Suzuki,Color,Mid-Range,Medium,Petrol,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt and Telescopic,Yes,No,Rear,2.7
CRD24,Maruti Baleno -Zeta 1.2,Maruti Baleno,Up to 5,Station Wagon,Suzuki,White,Mid-Range,Medium,Petrol,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt and Telescopic,Yes,No,Rear,4.6
CRD25,Maruti Baleno -Zeta 1.2 AT,Maruti Baleno,Up to 5,Station Wagon,Suzuki,Black,Mid-Range,Medium,Petrol,Medium,Automatic,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt and Telescopic,Yes,No,Rear,9.5
CRD26,Maruti Baleno -Zeta 1.2 AT,Maruti Baleno,Up to 5,Station Wagon,Suzuki,Color,Mid-Range,Medium,Petrol,Medium,Automatic,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt and Telescopic,Yes,No,Rear,3.2
CRD27,Maruti Baleno -Zeta 1.2 AT,Maruti Baleno,Up to 5,Station Wagon,Suzuki,White,Mid-Range,Medium,Petrol,Medium,Automatic,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt and Telescopic,Yes,No,Rear,1.4
CRD28,Maruti Baleno -Zeta 1.3,Maruti Baleno,Up to 5,Station Wagon,Suzuki,Black,Mid-Range,Medium,Diesel,High,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt and Telescopic,Yes,No,Rear,5.9
CRD29,Maruti Baleno -Zeta 1.3,Maruti Baleno,Up to 5,Station Wagon,Suzuki,Color,Mid-Range,Medium,Diesel,High,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt and Telescopic,Yes,No,Rear,2.2
CRD30,Maruti Baleno -Zeta 1.3,Maruti Baleno,Up to 5,Station Wagon,Suzuki,White,Mid-Range,Medium,Diesel,High,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt and Telescopic,Yes,No,Rear,3.7
CRD31,Maruti Baleno -Sigma 1.3,Maruti Baleno,Up to 5,Station Wagon,Suzuki,Black,Mid-Range,Medium,Diesel,High,Manual,2,No,Yes,Manual,No,Tilt,No,No,No,9.9
CRD32,Maruti Baleno -Sigma 1.3,Maruti Baleno,Up to 5,Station Wagon,Suzuki,Color,Mid-Range,Medium,Diesel,High,Manual,2,No,Yes,Manual,No,Tilt,No,No,No,1
CRD33,Maruti Baleno -Sigma 1.3,Maruti Baleno,Up to 5,Station Wagon,Suzuki,White,Mid-Range,Medium,Diesel,High,Manual,2,No,Yes,Manual,No,Tilt,No,No,No,4.1
CRD34,Maruti Baleno -Delta 1.3,Maruti Baleno,Up to 5,Station Wagon,Suzuki,Black,Mid-Range,Medium,Diesel,High,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,Rear,9.9
CRD35,Maruti Baleno -Delta 1.3,Maruti Baleno,Up to 5,Station Wagon,Suzuki,Color,Mid-Range,Medium,Diesel,High,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,Rear,6.4
CRD36,Maruti Baleno -Delta 1.3,Maruti Baleno,Up to 5,Station Wagon,Suzuki,White,Mid-Range,Medium,Diesel,High,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,Rear,0.7
CRD37,Maruti Suzuki Dzire - LDI,Maruti DZire,Up to 5,Sedan,Suzuki,Black,Mid-Range,Medium,Diesel,High,Manual,2,No,Yes,No,Yes,Tilt,No,No,No,8.8
CRD38,Maruti Suzuki Dzire - LDI,Maruti DZire,Up to 5,Sedan,Suzuki,Color,Mid-Range,Medium,Diesel,High,Manual,2,No,Yes,No,Yes,Tilt,No,No,No,9.3
CRD39,Maruti Suzuki Dzire - LDI,Maruti DZire,Up to 5,Sedan,Suzuki,White,Mid-Range,Medium,Diesel,High,Manual,2,No,Yes,No,Yes,Tilt,No,No,No,3.5
CRD40,Maruti Suzuki Dzire - LXI,Maruti DZire,Up to 5,Sedan,Suzuki,Black,Mid-Range,Medium,Petrol,Medium,Manual,2,No,Yes,No,Yes,Tilt,No,No,No,6.4
CRD41,Maruti Suzuki Dzire - LXI,Maruti DZire,Up to 5,Sedan,Suzuki,Color,Mid-Range,Medium,Petrol,Medium,Manual,2,No,Yes,No,Yes,Tilt,No,No,No,1.7
CRD42,Maruti Suzuki Dzire - LXI,Maruti DZire,Up to 5,Sedan,Suzuki,White,Mid-Range,Medium,Petrol,Medium,Manual,2,No,Yes,No,Yes,Tilt,No,No,No,7.9
CRD43,Maruti Suzuki Dzire - VDI,Maruti DZire,Up to 5,Sedan,Suzuki,Black,Mid-Range,Medium,Diesel,High,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,No,9
CRD44,Maruti Suzuki Dzire - VDI,Maruti DZire,Up to 5,Sedan,Suzuki,Color,Mid-Range,Medium,Diesel,High,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,No,1.9
CRD45,Maruti Suzuki Dzire - VDI,Maruti DZire,Up to 5,Sedan,Suzuki,White,Mid-Range,Medium,Diesel,High,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,No,0.2
CRD46,Maruti Suzuki Dzire - VDI AMT,Maruti DZire,Up to 5,Sedan,Suzuki,Black,Mid-Range,Medium,Diesel,High,Automatic,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,No,0.4
CRD47,Maruti Suzuki Dzire - VDI AMT,Maruti DZire,Up to 5,Sedan,Suzuki,Color,Mid-Range,Medium,Diesel,High,Automatic,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,No,1.4
CRD48,Maruti Suzuki Dzire - VDI AMT,Maruti DZire,Up to 5,Sedan,Suzuki,White,Mid-Range,Medium,Diesel,High,Automatic,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,No,3.8
CRD49,Maruti Suzuki Dzire - VXI,Maruti DZire,Up to 5,Sedan,Suzuki,Black,Mid-Range,Medium,Petrol,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,No,2.9
CRD50,Maruti Suzuki Dzire - VXI,Maruti DZire,Up to 5,Sedan,Suzuki,Color,Mid-Range,Medium,Petrol,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,No,0.8
CRD51,Maruti Suzuki Dzire - VXI,Maruti DZire,Up to 5,Sedan,Suzuki,White,Mid-Range,Medium,Petrol,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,No,2.6
CRD52,Maruti Suzuki Dzire - VXI AMT,Maruti DZire,Up to 5,Sedan,Suzuki,Black,Mid-Range,Medium,Petrol,Medium,Automatic,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,No,8.3
CRD53,Maruti Suzuki Dzire - VXI AMT,Maruti DZire,Up to 5,Sedan,Suzuki,Color,Mid-Range,Medium,Petrol,Medium,Automatic,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,No,4.2
CRD54,Maruti Suzuki Dzire - VXI AMT,Maruti DZire,Up to 5,Sedan,Suzuki,White,Mid-Range,Medium,Petrol,Medium,Automatic,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,No,1.6
CRD55,Maruti Suzuki Dzire - ZDI,Maruti DZire,Up to 5,Sedan,Suzuki,Black,Mid-Range,Medium,Diesel,High,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,Yes,No,Rear,1.2
CRD56,Maruti Suzuki Dzire - ZDI,Maruti DZire,Up to 5,Sedan,Suzuki,Color,Mid-Range,Medium,Diesel,High,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,Yes,No,Rear,5.9
CRD57,Maruti Suzuki Dzire - ZDI,Maruti DZire,Up to 5,Sedan,Suzuki,White,Mid-Range,Medium,Diesel,High,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,Yes,No,Rear,4.2
CRD58,Maruti Suzuki Dzire - ZDI AMT,Maruti DZire,Up to 5,Sedan,Suzuki,Black,Premium,Medium,Diesel,High,Automatic,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,Yes,No,Rear,7.2
CRD59,Maruti Suzuki Dzire - ZDI AMT,Maruti DZire,Up to 5,Sedan,Suzuki,Color,Premium,Medium,Diesel,High,Automatic,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,Yes,No,Rear,9.5
CRD60,Maruti Suzuki Dzire - ZDI AMT,Maruti DZire,Up to 5,Sedan,Suzuki,White,Premium,Medium,Diesel,High,Automatic,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,Yes,No,Rear,6.6
CRD61,Maruti Suzuki Dzire - ZDI Plus,Maruti DZire,Up to 5,Sedan,Suzuki,Black,Premium,Medium,Diesel,High,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,1.8
CRD62,Maruti Suzuki Dzire - ZDI Plus,Maruti DZire,Up to 5,Sedan,Suzuki,Color,Premium,Medium,Diesel,High,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,9.2
CRD63,Maruti Suzuki Dzire - ZDI Plus,Maruti DZire,Up to 5,Sedan,Suzuki,White,Premium,Medium,Diesel,High,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,6.6
CRD64,Maruti Suzuki Dzire - ZDI Plus AMT,Maruti DZire,Up to 5,Sedan,Suzuki,Black,Premium,Medium,Diesel,High,Automatic,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,2.3
CRD65,Maruti Suzuki Dzire - ZDI Plus AMT,Maruti DZire,Up to 5,Sedan,Suzuki,Color,Premium,Medium,Diesel,High,Automatic,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,3.3
CRD66,Maruti Suzuki Dzire - ZDI Plus AMT,Maruti DZire,Up to 5,Sedan,Suzuki,White,Premium,Medium,Diesel,High,Automatic,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,7
CRD67,Maruti Suzuki Dzire - ZXI,Maruti DZire,Up to 5,Sedan,Suzuki,Black,Mid-Range,Medium,Petrol,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,Yes,No,Rear,6.8
CRD68,Maruti Suzuki Dzire - ZXI AMT,Maruti DZire,Up to 5,Sedan,Suzuki,Black,Mid-Range,Medium,Petrol,Medium,Automatic,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,Yes,No,Rear,1
CRD69,Maruti Suzuki Dzire - ZXI Plus,Maruti DZire,Up to 5,Sedan,Suzuki,Black,Mid-Range,Medium,Petrol,Medium,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,6.1
CRD70,Maruti Suzuki Dzire - ZXI Plus AMT,Maruti DZire,Up to 5,Sedan,Suzuki,Black,Premium,Medium,Petrol,Medium,Automatic,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,2.9
CRD71,Maruti Suzuki Dzire - ZXI,Maruti DZire,Up to 5,Sedan,Suzuki,Color,Mid-Range,Medium,Petrol,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,Yes,No,Rear,8.4
CRD72,Maruti Suzuki Dzire - ZXI AMT,Maruti DZire,Up to 5,Sedan,Suzuki,Color,Mid-Range,Medium,Petrol,Medium,Automatic,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,Yes,No,Rear,5.2
CRD73,Maruti Suzuki Dzire - ZXI Plus,Maruti DZire,Up to 5,Sedan,Suzuki,Color,Mid-Range,Medium,Petrol,Medium,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,5.3
CRD74,Maruti Suzuki Dzire - ZXI Plus AMT,Maruti DZire,Up to 5,Sedan,Suzuki,Color,Premium,Medium,Petrol,Medium,Automatic,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,5.7
CRD75,Maruti Suzuki Dzire - ZXI,Maruti DZire,Up to 5,Sedan,Suzuki,White,Mid-Range,Medium,Petrol,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,Yes,No,Rear,6
CRD76,Maruti Suzuki Dzire - ZXI AMT,Maruti DZire,Up to 5,Sedan,Suzuki,White,Mid-Range,Medium,Petrol,Medium,Automatic,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,Yes,No,Rear,3.6
CRD77,Maruti Suzuki Dzire - ZXI Plus,Maruti DZire,Up to 5,Sedan,Suzuki,White,Mid-Range,Medium,Petrol,Medium,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,9.6
CRD78,Maruti Suzuki Dzire - ZXI Plus AMT,Maruti DZire,Up to 5,Sedan,Suzuki,White,Premium,Medium,Petrol,Medium,Automatic,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,7.8
CRD79,Maruti Swift - Ldi,Maruti Swift,Up to 5,Hatchback,Suzuki,Black,Mid-Range,Medium,Diesel,High,Manual,2,No,No,Remote,Yes,Tilt,No,No,No,6.7
CRD80,Maruti Swift - Ldi ABS,Maruti Swift,Up to 5,Hatchback,Suzuki,Black,Mid-Range,Medium,Diesel,High,Manual,2,No,Yes,Remote,Yes,Tilt,No,No,No,5.7
CRD81,Maruti Swift - Lxi (O),Maruti Swift,Up to 5,Hatchback,Suzuki,Black,Entry,Medium,Petrol,Medium,Manual,1,No,No,Remote,Yes,Tilt,No,No,No,1.3
CRD82,Maruti Swift - Lxi ABS (O),Maruti Swift,Up to 5,Hatchback,Suzuki,Black,Mid-Range,Medium,Petrol,Medium,Manual,2,No,Yes,Remote,Yes,Tilt,No,No,No,2.5
CRD83,Maruti Swift - VDi,Maruti Swift,Up to 5,Hatchback,Suzuki,Black,Mid-Range,Medium,Diesel,High,Manual,1,Basic,No,Remote,Yes,Tilt,No,No,No,3.2
CRD84,Maruti Swift - Vdi ABS,Maruti Swift,Up to 5,Hatchback,Suzuki,Black,Mid-Range,Medium,Diesel,High,Manual,2,Basic,Yes,Remote,Yes,Tilt,No,No,No,4.8
CRD85,Maruti Swift - VXI,Maruti Swift,Up to 5,Hatchback,Suzuki,Black,Mid-Range,Medium,Petrol,Medium,Manual,1,Basic,No,Remote,Yes,Tilt,No,No,No,1.3
CRD86,Maruti Swift - VXI ABS,Maruti Swift,Up to 5,Hatchback,Suzuki,Black,Mid-Range,Medium,Petrol,Medium,Manual,2,Basic,Yes,Remote,Yes,Tilt,No,No,No,9.3
CRD87,Maruthi Swift Zdi,Maruti Swift,Up to 5,Hatchback,Suzuki,Black,Mid-Range,Medium,Diesel,High,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,Yes,No,Rear,9.2
CRD88,Maruthi Swift Zxi,Maruti Swift,Up to 5,Hatchback,Suzuki,Black,Mid-Range,Medium,Petrol,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,Yes,No,Rear,9.1
CRD89,Maruti Swift - Ldi,Maruti Swift,Up to 5,Hatchback,Suzuki,Color,Mid-Range,Medium,Diesel,High,Manual,2,No,No,Remote,Yes,Tilt,No,No,No,5
CRD90,Maruti Swift - Ldi ABS,Maruti Swift,Up to 5,Hatchback,Suzuki,Color,Mid-Range,Medium,Diesel,High,Manual,2,No,Yes,Remote,Yes,Tilt,No,No,No,0.5
CRD91,Maruti Swift - Lxi (O),Maruti Swift,Up to 5,Hatchback,Suzuki,Color,Entry,Medium,Petrol,Medium,Manual,1,No,No,Remote,Yes,Tilt,No,No,No,4.7
CRD92,Maruti Swift - Lxi ABS (O),Maruti Swift,Up to 5,Hatchback,Suzuki,Color,Mid-Range,Medium,Petrol,Medium,Manual,2,No,Yes,Remote,Yes,Tilt,No,No,No,7.3
CRD93,Maruti Swift - VDi,Maruti Swift,Up to 5,Hatchback,Suzuki,Color,Mid-Range,Medium,Diesel,High,Manual,1,Basic,No,Remote,Yes,Tilt,No,No,No,8.1
CRD94,Maruti Swift - Vdi ABS,Maruti Swift,Up to 5,Hatchback,Suzuki,Color,Mid-Range,Medium,Diesel,High,Manual,2,Basic,Yes,Remote,Yes,Tilt,No,No,No,9.1
CRD95,Maruti Swift - VXI,Maruti Swift,Up to 5,Hatchback,Suzuki,Color,Mid-Range,Medium,Petrol,Medium,Manual,1,Basic,No,Remote,Yes,Tilt,No,No,No,7.6
CRD96,Maruti Swift - VXI ABS,Maruti Swift,Up to 5,Hatchback,Suzuki,Color,Mid-Range,Medium,Petrol,Medium,Manual,2,Basic,Yes,Remote,Yes,Tilt,No,No,No,2.1
CRD97,Maruthi Swift Zdi,Maruti Swift,Up to 5,Hatchback,Suzuki,Color,Mid-Range,Medium,Diesel,High,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,Yes,No,Rear,5.8
CRD98,Maruthi Swift Zxi,Maruti Swift,Up to 5,Hatchback,Suzuki,Color,Mid-Range,Medium,Petrol,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,Yes,No,Rear,2.4
CRD99,Maruti Swift - Ldi,Maruti Swift,Up to 5,Hatchback,Suzuki,White,Mid-Range,Medium,Diesel,High,Manual,2,No,No,Remote,Yes,Tilt,No,No,No,5
CRD100,Maruti Swift - Ldi ABS,Maruti Swift,Up to 5,Hatchback,Suzuki,White,Mid-Range,Medium,Diesel,High,Manual,2,No,Yes,Remote,Yes,Tilt,No,No,No,0.7
CRD101,Maruti Swift - Lxi (O),Maruti Swift,Up to 5,Hatchback,Suzuki,White,Entry,Medium,Petrol,Medium,Manual,1,No,No,Remote,Yes,Tilt,No,No,No,2
CRD102,Maruti Swift - Lxi ABS (O),Maruti Swift,Up to 5,Hatchback,Suzuki,White,Mid-Range,Medium,Petrol,Medium,Manual,2,No,Yes,Remote,Yes,Tilt,No,No,No,1.3
CRD103,Maruti Swift - VDi,Maruti Swift,Up to 5,Hatchback,Suzuki,White,Mid-Range,Medium,Diesel,High,Manual,1,Basic,No,Remote,Yes,Tilt,No,No,No,4.7
CRD104,Maruti Swift - Vdi ABS,Maruti Swift,Up to 5,Hatchback,Suzuki,White,Mid-Range,Medium,Diesel,High,Manual,2,Basic,Yes,Remote,Yes,Tilt,No,No,No,6.3
CRD105,Maruti Swift - VXI,Maruti Swift,Up to 5,Hatchback,Suzuki,White,Mid-Range,Medium,Petrol,Medium,Manual,1,Basic,No,Remote,Yes,Tilt,No,No,No,9.1
CRD106,Maruti Swift - VXI ABS,Maruti Swift,Up to 5,Hatchback,Suzuki,White,Mid-Range,Medium,Petrol,Medium,Manual,2,Basic,Yes,Remote,Yes,Tilt,No,No,No,0.7
CRD107,Maruthi Swift Zdi,Maruti Swift,Up to 5,Hatchback,Suzuki,White,Mid-Range,Medium,Diesel,High,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,Yes,No,Rear,9.8
CRD108,Maruthi Swift Zxi,Maruti Swift,Up to 5,Hatchback,Suzuki,White,Mid-Range,Medium,Petrol,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,Yes,No,Rear,9.9
CRD109,Hyundai Grand i10 - Asta 1.2 Kappa VTVT,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Black,Mid-Range,Medium,Petrol,Medium,Manual,2,Advanced,Yes,Keyless,Yes,Tilt,Yes,No,Rear,0.3
CRD110,Hyundai Grand i10 - Asta U2 1.2 CRDi,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Black,Mid-Range,Medium,Diesel,Medium,Manual,2,Advanced,Yes,Keyless,Yes,Tilt,Yes,No,Rear,6.3
CRD111,Hyundai Grand i10 - Era 1.2 Kappa VTVT,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Black,Entry,Medium,Petrol,Medium,Manual,1,No,No,No,Yes,No,No,No,No,0.9
CRD112,Hyundai Grand i10 - Era U2 1.2 CRDi,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Black,Mid-Range,Medium,Diesel,Medium,Manual,1,No,No,No,Yes,No,No,No,No,4
CRD113,Hyundai Grand i10 - Magna 1.2 Kappa VTVT,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Black,Mid-Range,Medium,Petrol,Medium,Manual,1,No,No,Manual,Yes,No,No,No,No,6.9
CRD114,Hyundai Grand i10 - Magna AT 1.2 Kappa VTVT,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Black,Mid-Range,Medium,Petrol,Low,Automatic,1,No,No,Manual,Yes,No,No,No,No,3
CRD115,Hyundai Grand i10 - Magna U2 1.2 CRDi,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Black,Mid-Range,Medium,Diesel,Medium,Manual,1,No,No,Manual,Yes,No,No,No,No,7.3
CRD116,Hyundai Grand i10 - Sportz (O) 1.2 Kappa VTVT,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Black,Mid-Range,Medium,Petrol,Medium,Manual,2,Advanced,No,Remote,Yes,Tilt,No,No,Rear,10
CRD117,Hyundai Grand i10 - Sportz (O) AT 1.2 Kappa VTVT,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Black,Mid-Range,Medium,Petrol,Low,Automatic,2,Advanced,No,Remote,Yes,Tilt,No,No,Rear,0.9
CRD118,Hyundai Grand i10 - Sportz (O) U2 1.2 CRDi,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Black,Mid-Range,Medium,Diesel,Medium,Manual,2,Advanced,No,Remote,Yes,Tilt,No,No,Rear,6.1
CRD119,Hyundai Grand i10 - Sportz 1.2 Kappa VTVT,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Black,Mid-Range,Medium,Petrol,Medium,Manual,2,Basic + Bluetooth,No,Remote,Yes,Tilt,No,No,Rear,0.3
CRD120,Hyundai Grand i10 - Sportz U2 1.2 CRDi,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Black,Mid-Range,Medium,Diesel,Medium,Manual,2,Basic + Bluetooth,No,Remote,Yes,Tilt,No,No,Rear,2.8
CRD121,Hyundai Grand i10 - Asta 1.2 Kappa VTVT,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Color,Mid-Range,Medium,Petrol,Medium,Manual,2,Advanced,Yes,Keyless,Yes,Tilt,Yes,No,Rear,5.9
