ST_NAME,AC_NAME
Uttar Pradesh,Bulandshahr
Uttar Pradesh,Syana
Uttar Pradesh,Anupshahr
Uttar Pradesh,Debai
Uttar Pradesh,Shikarpur
Uttar Pradesh,Khurja 
Uttar Pradesh,Khair 
Uttar Pradesh,Barauli
Uttar Pradesh,Atrauli
Uttar Pradesh,Chharra
Uttar Pradesh,Koil
Uttar Pradesh,Aligarh
Uttar Pradesh,Iglas 
Uttar Pradesh,Hathras 
Uttar Pradesh,Sadabad
Uttar Pradesh,Sikandra Rao
Uttar Pradesh,Chhata
Uttar Pradesh,Mant
Uttar Pradesh,Goverdhan
Uttar Pradesh,Mathura
Uttar Pradesh,Baldev 
Uttar Pradesh,Etmadpur
Uttar Pradesh,Agra Cantt. 
Uttar Pradesh,Agra South
Uttar Pradesh,Agra North
Uttar Pradesh,Agra Rural 
Uttar Pradesh,Fatehpur Sikri
Uttar Pradesh,Kheragarh
Uttar Pradesh,Fatehabad
Uttar Pradesh,Bah
Uttar Pradesh,Tundla 
Uttar Pradesh,Jasrana
Uttar Pradesh,Firozabad
Uttar Pradesh,Shikohabad
Uttar Pradesh,Sirsaganj
Uttar Pradesh,Kasganj
Uttar Pradesh,Amanpur
Uttar Pradesh,Patiyali
Uttar Pradesh,Aliganj
Uttar Pradesh,Etah
Uttar Pradesh,Marhara
Uttar Pradesh,Jalesar 
Uttar Pradesh,Mainpuri
Uttar Pradesh,Bhongaon
Uttar Pradesh,Kishani 
Uttar Pradesh,Karhal
Uttar Pradesh,Gunnaur
Uttar Pradesh,Bisauli 
Uttar Pradesh,Sahaswan
Uttar Pradesh,Bilsi
Uttar Pradesh,Badaun
Uttar Pradesh,Shekhupur
Uttar Pradesh,Dataganj
Uttar Pradesh,Baheri
Uttar Pradesh,Meerganj
Uttar Pradesh,Bhojipura
Uttar Pradesh,Nawabganj
Uttar Pradesh,Faridpur
Uttar Pradesh,Bithari Chainpur
Uttar Pradesh,Bareilly
Uttar Pradesh,Bareilly Cantt.
Uttar Pradesh,Aonla
Uttar Pradesh,Pilibhit
Uttar Pradesh,Barkhera
Uttar Pradesh,Puranpur
Uttar Pradesh,Bisalpur
Uttar Pradesh,Katra
Uttar Pradesh,Jalalabad
Uttar Pradesh,Tilhar
Uttar Pradesh,Powayan
Uttar Pradesh,Shahjahanpur
Uttar Pradesh,Dadraul
Uttar Pradesh,Palia
Uttar Pradesh,Nighasan
Uttar Pradesh,Gola Gokrannath
Uttar Pradesh,Sri Nagar 
Uttar Pradesh,Dhaurahra
Uttar Pradesh,Lakhimpur
Uttar Pradesh,Kasta 
Uttar Pradesh,Mohammdi
Uttar Pradesh,Maholi
Uttar Pradesh,Sitapur
Uttar Pradesh,Hargaon 
Uttar Pradesh,Laharpur
Uttar Pradesh,Biswan
Uttar Pradesh,Sevata
Uttar Pradesh,Mahmoodabad
Uttar Pradesh,Sidhauli 
Uttar Pradesh,Misrikh 
Uttar Pradesh,Sawaijpur
Uttar Pradesh,Shahabad
Uttar Pradesh,Hardoi
Uttar Pradesh,Gopamau 
Uttar Pradesh,Sandi 
Uttar Pradesh,Bilgram-Mallanwan
Uttar Pradesh,Balamau 
Uttar Pradesh,Sandila
Uttar Pradesh,Bangermau
Uttar Pradesh,Safipur 
Uttar Pradesh,Mohan 
Uttar Pradesh,Unnao
Uttar Pradesh,Bhagwantnagar
Uttar Pradesh,Purwa
Uttar Pradesh,Malihabad
Uttar Pradesh,Bakshi Kaa Talab
Uttar Pradesh,Sarojini Nagar
Uttar Pradesh,Lucknow West
Uttar Pradesh,Lucknow North
Uttar Pradesh,Lucknow East
Uttar Pradesh,Lucknow Central
Uttar Pradesh,Lucknow Cantt.
Uttar Pradesh,Mohanlalganj 
Uttar Pradesh,Bachhrawan 
Uttar Pradesh,Tiloi
Uttar Pradesh,Harchandpur
Uttar Pradesh,Rae Bareli
Uttar Pradesh,Salon 
Uttar Pradesh,Sareni
Uttar Pradesh,Unchahar
Uttar Pradesh,Jagdishpur 
Uttar Pradesh,Gauriganj
Uttar Pradesh,Amethi
Uttar Pradesh,Isauli
Uttar Pradesh,Sultanpur
Uttar Pradesh,Sadar
Uttar Pradesh,Lambhua
Uttar Pradesh,Kadipur 
Uttar Pradesh,Kaimganj 
Uttar Pradesh,Amritpur
Uttar Pradesh,Farrukhabad
Uttar Pradesh,Bhojpur
Uttar Pradesh,Chhibramau
Uttar Pradesh,Tirwa
Uttar Pradesh,Kannauj 
Uttar Pradesh,Jaswantnagar
Uttar Pradesh,Etawah
Uttar Pradesh,Bharthana 
Uttar Pradesh,Bidhuna
Uttar Pradesh,Dibiyapur
Uttar Pradesh,Auraiya 
Uttar Pradesh,Rasulabad 
Uttar Pradesh,Akbarpur - Raniya
Uttar Pradesh,Sikandra
Uttar Pradesh,Bhognipur
Uttar Pradesh,Bilhaur
Uttar Pradesh,Bithoor
Uttar Pradesh,Kalyanpur
Uttar Pradesh,Govindnagar
Uttar Pradesh,Sishamau
Uttar Pradesh,Arya Nagar
Uttar Pradesh,Kidwai Nagar
Uttar Pradesh,Kanpur Cantt.
Uttar Pradesh,Maharajpur
Uttar Pradesh,Ghatampur 
Uttar Pradesh,Madhaugarh
Uttar Pradesh,Kalpi
Uttar Pradesh,Orai 
Uttar Pradesh,Babina
Uttar Pradesh,Jhansi Nagar
Uttar Pradesh,Mauranipur 
Uttar Pradesh,Garautha
Uttar Pradesh,Lalitpur
Uttar Pradesh,Mehroni 
Uttar Pradesh,Hamirpur
Uttar Pradesh,Rath 
Uttar Pradesh,Mahoba
Uttar Pradesh,Charkhari
Uttar Pradesh,Tindwari
Uttar Pradesh,Baberu
Uttar Pradesh,Naraini 
Uttar Pradesh,Banda
Uttar Pradesh,Chitrakoot
Uttar Pradesh,Manikpur
Uttar Pradesh,Jahanabad
Uttar Pradesh,Bindki
Uttar Pradesh,Fatehpur   
Uttar Pradesh,Ayah Shah
Uttar Pradesh,Husainganj
Uttar Pradesh,Khaga
Uttar Pradesh,Rampur Khas
Uttar Pradesh,Babaganj
Uttar Pradesh,Kunda
Uttar Pradesh,Bishwavnathganj
Uttar Pradesh,Pratapgarh
Uttar Pradesh,Patti
Uttar Pradesh,Raniganj
Uttar Pradesh,Sirathu
Uttar Pradesh,Manjhanpur 
Uttar Pradesh,Chail
Uttar Pradesh,Phaphamau
Uttar Pradesh,Soraon 
Uttar Pradesh,Phulpur
Uttar Pradesh,Pratappur
Uttar Pradesh,Handia
Uttar Pradesh,Meja
Uttar Pradesh,Karachhana
Uttar Pradesh,Allahabad West
Uttar Pradesh,Allahabad North
Uttar Pradesh,Allahabad South
Uttar Pradesh,Bara 
Uttar Pradesh,Koraon 
Uttar Pradesh,Kursi
Uttar Pradesh,Ram Nagar
Uttar Pradesh,Barabanki
Uttar Pradesh,Zaidpur 
Uttar Pradesh,Dariyabad
Uttar Pradesh,Rudauli
Uttar Pradesh,Haidergarh 
Uttar Pradesh,Milkipur 
Uttar Pradesh,Bikapur
Uttar Pradesh,Ayodhya
Uttar Pradesh,Goshainganj
Uttar Pradesh,Katehari
Uttar Pradesh,Tanda
Uttar Pradesh,Alapur 
Uttar Pradesh,Jalalpur
Uttar Pradesh,Akbarpur  
Uttar Pradesh,Balha 
Uttar Pradesh,Nanpara
Uttar Pradesh,Matera
Uttar Pradesh,Mahasi
Uttar Pradesh,Bahraich
Uttar Pradesh,Payagpur
Uttar Pradesh,Kaiserganj
Uttar Pradesh,Bhinga
Uttar Pradesh,Shrawasti
Uttar Pradesh,Tulsipur
Uttar Pradesh,Gainsari
Uttar Pradesh,Utraula
Uttar Pradesh,Balrampur 
Uttar Pradesh,Mehnaun
Uttar Pradesh,Gonda
Uttar Pradesh,Katra Bazar
Uttar Pradesh,Colonelganj
Uttar Pradesh,Tarabganj
Uttar Pradesh,Mankapur 
Uttar Pradesh,Gaura
Uttar Pradesh,Shohratgarh
Uttar Pradesh,Kapilvastu 
Uttar Pradesh,Bansi
Uttar Pradesh,Itwa
Uttar Pradesh,Doomariyaganj
Uttar Pradesh,Harraiya
Uttar Pradesh,Kaptanganj
Uttar Pradesh,Rudhauli
Uttar Pradesh,Basti Sadar
Uttar Pradesh,Mahadewa 
Uttar Pradesh,Menhdawal
Uttar Pradesh,Khalilabad
Uttar Pradesh,Dhanghata 
Uttar Pradesh,Pharenda
Uttar Pradesh,Nautanwa
Uttar Pradesh,Siswa
Uttar Pradesh,Maharajganj 
Uttar Pradesh,Paniyara
Uttar Pradesh,Caimpiyarganj
Uttar Pradesh,Pipraich
Uttar Pradesh,Gorakhpur Urban
Uttar Pradesh,Gorakhpur Rural
Uttar Pradesh,Sahajanwa
Uttar Pradesh,Khajani 
Uttar Pradesh,Chauri-Chaura
Uttar Pradesh,Bansgaon
Uttar Pradesh,Chillupar
Uttar Pradesh,Khadda
Uttar Pradesh,Padrauna
Uttar Pradesh,Tamkuhi Raj
Uttar Pradesh,Fazilnagar
Uttar Pradesh,Kushinagar
Uttar Pradesh,Hata
Uttar Pradesh,Ramkola
Uttar Pradesh,Rudrapur
Uttar Pradesh,Deoria
Uttar Pradesh,Pathardeva
Uttar Pradesh,Rampur Karkhana
Uttar Pradesh,Bhatpar Rani
Uttar Pradesh,Salempur
Uttar Pradesh,Barhaj
Uttar Pradesh,Atrauliya
Uttar Pradesh,Gopalpur
Uttar Pradesh,Sagri
Uttar Pradesh,Mubarakpur
Uttar Pradesh,Azamgarh
Uttar Pradesh,Nizamabad
Uttar Pradesh,Phoolpur Pawai
Uttar Pradesh,Didarganj
Uttar Pradesh,Lalganj
Uttar Pradesh,Mehnagar 
Uttar Pradesh,Madhuban
Uttar Pradesh,Ghosi
Uttar Pradesh,Muhammadabad- Gohna (SC)
Uttar Pradesh,Mau
Uttar Pradesh,Belthara Road 
Uttar Pradesh,Rasara
Uttar Pradesh,Sikanderpur
Uttar Pradesh,Phephana
Uttar Pradesh,Ballia Nagar
Uttar Pradesh,Bansdih
Uttar Pradesh,Bairia
Uttar Pradesh,Badlapur
Uttar Pradesh,Shahganj
Uttar Pradesh,Jaunpur
Uttar Pradesh,Malhani
Uttar Pradesh,Mungra Badshahpur
Uttar Pradesh,Machhlishahr 
Uttar Pradesh,Mariyahu
Uttar Pradesh,Zafrabad
Uttar Pradesh,Kerakat 
Uttar Pradesh,Jakhanian 
Uttar Pradesh,Saidpur 
Uttar Pradesh,Ghazipur
Uttar Pradesh,Jangipur
Uttar Pradesh,Zahoorabad
Uttar Pradesh,Mohammadabad
Uttar Pradesh,Zamania
Uttar Pradesh,Mughalsarai
Uttar Pradesh,Sakaldiha
Uttar Pradesh,Saiyadraja
Uttar Pradesh,Chakia 
Uttar Pradesh,Pindra
Uttar Pradesh,Ajagara 
Uttar Pradesh,Shivpur
Uttar Pradesh,Rohaniya
Uttar Pradesh,Varanasi North
Uttar Pradesh,Varanasi South
Uttar Pradesh,Varanasi Cantt.
Uttar Pradesh,Sevapuri
Uttar Pradesh,Bhadohi
Uttar Pradesh,Gyanpur
Uttar Pradesh,Aurai 
Uttar Pradesh,Chhanbey 
Uttar Pradesh,Mirzapur
Uttar Pradesh,Majhawan
Uttar Pradesh,Chunar
Uttar Pradesh,Marihan
Uttar Pradesh,Ghorawal
Uttar Pradesh,Robertsganj
Uttar Pradesh,Obra
Uttar Pradesh,Duddhi 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
