ST_CODE,ST_NAME,MONTH,YEAR,DIST_NAME,AC_NO,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTYABBRE,TOTALVALIDVOTESPOLLED,POSITION
S05,Goa,3,2017,North Goa,4,Tivim,GEN,KIRAN MOHAN KANDOLKAR,M,GEN,45,BJP,10304,2
S05,Goa,3,2017,North Goa,4,Tivim,GEN,PRADEEP AMONKAR GHADI,M,GEN,53,AAAP,703,3
S05,Goa,3,2017,North Goa,4,Tivim,GEN,DOUGLAS LAWRENCE SEQUEIRA,M,GEN,42,NCP,275,4
S05,Goa,3,2017,North Goa,4,Tivim,GEN,None of the Above,NULL,NULL,NULL,NOTA,179,5
S05,Goa,3,2017,North Goa,5,Mapusa,GEN,FRANCISCO C. J. A. DE PINTO E SOUZA,M,GEN,62,BJP,10957,1
S05,Goa,3,2017,North Goa,5,Mapusa,GEN,VINOD FADKE,M,GEN,59,MAG,4129,2
S05,Goa,3,2017,North Goa,5,Mapusa,GEN,VIJAY LAXMAN BHIKE,M,GEN,44,INC,3013,3
S05,Goa,3,2017,North Goa,5,Mapusa,GEN,SHRADDHA KHALAP,F,GEN,33,AAAP,2321,4
S05,Goa,3,2017,North Goa,5,Mapusa,GEN,DOMNIC ALPHONSO,M,GEN,62,IND,1543,5
S05,Goa,3,2017,North Goa,5,Mapusa,GEN,None of the Above,NULL,NULL,NULL,NOTA,409,6
S05,Goa,3,2017,North Goa,5,Mapusa,GEN,SANJAY VITHU BARDE,M,GEN,52,NCP,289,7
S05,Goa,3,2017,North Goa,5,Mapusa,GEN,RAMESHWARI MORAJKAR,F,GEN,27,GSRP,103,8
S05,Goa,3,2017,North Goa,6,Siolim,GEN,VINODA DATARAMA PALIENCAR,M,GEN,54,GFP,10189,1
S05,Goa,3,2017,North Goa,6,Siolim,GEN,DAYANAND RAYU MANDREKAR,M,GEN,60,BJP,8748,2
S05,Goa,3,2017,North Goa,6,Siolim,GEN,VISHNU MHADDU NAIK,M,GEN,34,AAAP,1854,3
S05,Goa,3,2017,North Goa,6,Siolim,GEN,PATRICK SAVIO ALMEIDA,M,GEN,45,IND,1497,4
S05,Goa,3,2017,North Goa,6,Siolim,GEN,PARESH RAIKAR,M,GEN,60,GSM,532,5
S05,Goa,3,2017,North Goa,6,Siolim,GEN,ABHIJIT DHARGALKAR,M,GEN,33,NCP,275,6
S05,Goa,3,2017,North Goa,6,Siolim,GEN,None of the Above,NULL,NULL,NULL,NOTA,212,7
S05,Goa,3,2017,North Goa,6,Siolim,GEN,JANARDAN NARAHARI TAMHANKAR,M,GEN,50,BMUP,116,8
S05,Goa,3,2017,North Goa,6,Siolim,GEN,MUKESH SAWANT,M,GEN,36,IND,73,9
S05,Goa,3,2017,North Goa,7,Saligao,GEN,JAYESH VIDYADHAR SALGAONKAR,M,GEN,42,GFP,9735,1
S05,Goa,3,2017,North Goa,7,Saligao,GEN,DILIP PARULEKAR,M,GEN,52,BJP,7598,2
S05,Goa,3,2017,North Goa,7,Saligao,GEN,AGNELO NICHOLAS FERNANDES,M,GEN,54,INC,1616,3
S05,Goa,3,2017,North Goa,7,Saligao,GEN,DATTATRAYA VITTAL PADGAONKAR,M,GEN,56,AAAP,1330,4
S05,Goa,3,2017,North Goa,7,Saligao,GEN,RAJESH DABHOLKAR,M,GEN,45,SHS,428,5
S05,Goa,3,2017,North Goa,7,Saligao,GEN,None of the Above,NULL,NULL,NULL,NOTA,171,6
S05,Goa,3,2017,North Goa,7,Saligao,GEN,GAJANAN RAMA NAIK,M,GEN,53,CPI,150,7
S05,Goa,3,2017,North Goa,8,Calangute,GEN,MICHAEL VINCENT LOBO,M,GEN,40,BJP,11136,1
S05,Goa,3,2017,North Goa,8,Calangute,GEN,JOSEPH ROBERT SEQUEIRA,M,GEN,56,INC,7311,2
S05,Goa,3,2017,North Goa,8,Calangute,GEN,GODWIN FERNANDES,M,GEN,34,AAAP,1465,3
S05,Goa,3,2017,North Goa,8,Calangute,GEN,None of the Above,NULL,NULL,NULL,NOTA,172,4
S05,Goa,3,2017,North Goa,9,Porvorim,GEN,ROHAN KHAUNTE,M,GEN,42,IND,11174,1
S05,Goa,3,2017,North Goa,9,Porvorim,GEN,GURUPRASAD R. PAWASKAR,M,GEN,43,BJP,6961,2
S05,Goa,3,2017,North Goa,9,Porvorim,GEN,RAJESH VALVAIKAR,M,GEN,45,AAAP,846,3
S05,Goa,3,2017,North Goa,9,Porvorim,GEN,RAJESH VISHNU SINAI AMONKAR ALIAS RAJESH AMONKAR,M,GEN,46,MAG,222,4
S05,Goa,3,2017,North Goa,9,Porvorim,GEN,None of the Above,NULL,NULL,NULL,NOTA,176,5
S05,Goa,3,2017,North Goa,9,Porvorim,GEN,WILBUR FREDRICK TICLO,M,GEN,51,IND,144,6
S05,Goa,3,2017,North Goa,9,Porvorim,GEN,RAJU DSOUZA,M,GEN,47,SaJPCs,133,7
S05,Goa,3,2017,North Goa,10,Aldona,GEN,GLENN SOUZA TICLO,M,GEN,54,BJP,9405,1
S05,Goa,3,2017,North Goa,10,Aldona,GEN,AMARNATH PANJIKAR,M,GEN,49,INC,4949,2
S05,Goa,3,2017,North Goa,10,Aldona,GEN,ROSY URSULA D`SOUZA,F,GEN,49,AAAP,3272,3
S05,Goa,3,2017,North Goa,10,Aldona,GEN,MAHESH VITHU SATELKAR,M,GEN,38,MAG,3000,4
S05,Goa,3,2017,North Goa,10,Aldona,GEN,ANANDRAO NARAYANRAO NAGVENKAR,M,GEN,58,IND,643,5
S05,Goa,3,2017,North Goa,10,Aldona,GEN,None of the Above,NULL,NULL,NULL,NOTA,196,6
S05,Goa,3,2017,North Goa,10,Aldona,GEN,OSBERT D`CUNHA,M,GEN,30,NCP,141,7
S05,Goa,3,2017,North Goa,11,Panaji,GEN,SIDHARTH SRIPAD KUNCALIENKER,M,GEN,41,BJP,7924,1
S05,Goa,3,2017,North Goa,11,Panaji,GEN,ATANASIO J. MONSERRATE,M,GEN,54,UGP,6855,2
S05,Goa,3,2017,North Goa,11,Panaji,GEN,VALMIKI NAIK,M,GEN,40,AAAP,1944,3
S05,Goa,3,2017,North Goa,11,Panaji,GEN,KETAN KIRTIKUMAR PRABHU BHATIKAR,M,GEN,32,GSM,323,4
S05,Goa,3,2017,North Goa,11,Panaji,GEN,None of the Above,NULL,NULL,NULL,NOTA,175,5
S05,Goa,3,2017,North Goa,11,Panaji,GEN,DOMINIC SAVIO A. E. FERNANDES,M,GEN,50,NCP,62,6
S05,Goa,3,2017,North Goa,11,Panaji,GEN,DILIP GHADI,M,GEN,53,IND,36,7
S05,Goa,3,2017,North Goa,11,Panaji,GEN,PARSHURAM DODAMANI,M,GEN,38,IND,20,8
S05,Goa,3,2017,North Goa,12,Taleigao,GEN,JENNIFER MONSERRATE,F,GEN,46,INC,11534,1
S05,Goa,3,2017,North Goa,12,Taleigao,GEN,DATTAPRASAD NAIK,M,GEN,38,BJP,8679,2
S05,Goa,3,2017,North Goa,12,Taleigao,GEN,CECILLE RODRIGUES,F,GEN,34,AAAP,1976,3
S05,Goa,3,2017,North Goa,12,Taleigao,GEN,None of the Above,NULL,NULL,NULL,NOTA,252,4
S05,Goa,3,2017,North Goa,12,Taleigao,GEN,VIJAY V. MORE,M,GEN,37,IND,115,5
S05,Goa,3,2017,North Goa,13,St. Cruz,GEN,ANTONIO CAETANO  FERNANDES,M,GEN,51,INC,6202,1
S05,Goa,3,2017,North Goa,13,St. Cruz,GEN,HEMANT DINANATH GOLATKAR,M,GEN,49,BJP,5560,2
S05,Goa,3,2017,North Goa,13,St. Cruz,GEN,RODOLFO LOUIS FERNANDES,M,GEN,55,IND,5262,3
S05,Goa,3,2017,North Goa,13,St. Cruz,GEN,PRAKASH GOPI NAIK,M,GEN,43,MAG,2707,4
S05,Goa,3,2017,North Goa,13,St. Cruz,GEN,JOSE VINCENT GOMES,M,GEN,47,AAAP,1712,5
S05,Goa,3,2017,North Goa,13,St. Cruz,GEN,None of the Above,NULL,NULL,NULL,NOTA,303,6
S05,Goa,3,2017,North Goa,13,St. Cruz,GEN,HELENA LOURENCO,F,GEN,46,IND,227,7
S05,Goa,3,2017,North Goa,13,St. Cruz,GEN,PEDRO CAITANO PIRES ALIAS PETER PIRES,M,GEN,53,CPI,106,8
S05,Goa,3,2017,North Goa,13,St. Cruz,GEN,SHAKEEL JAMAL SHAIKH,M,GEN,47,NCP,75,9
S05,Goa,3,2017,North Goa,13,St. Cruz,GEN,JOSE LOPES,M,GEN,43,IND,61,10
S05,Goa,3,2017,North Goa,14,St. Andre,GEN,FRANCISCO SILVEIRA,M,GEN,48,INC,8087,1
S05,Goa,3,2017,North Goa,14,St. Andre,GEN,RAMRAO SURYA NAIK WAGH,M,GEN,50,BJP,3017,2
S05,Goa,3,2017,North Goa,14,St. Andre,GEN,JAGDISH UMAKANT BHOBE,M,GEN,47,MAG,2393,3
S05,Goa,3,2017,North Goa,14,St. Andre,GEN,DHAKU ARJUN MADKAIKAR,M,GEN,45,IND,1285,4
S05,Goa,3,2017,North Goa,14,St. Andre,GEN,RAMA GURUDAS KANKONKAR,M,GEN,31,AAAP,979,5
S05,Goa,3,2017,North Goa,14,St. Andre,GEN,DATTARAM NAGUESH CHARI,M,GEN,40,NCP,325,6
S05,Goa,3,2017,North Goa,14,St. Andre,GEN,None of the Above,NULL,NULL,NULL,NOTA,152,7
S05,Goa,3,2017,North Goa,14,St. Andre,GEN,SIMAO ALEIXO CAIADO,M,GEN,65,IND,143,8
S05,Goa,3,2017,North Goa,14,St. Andre,GEN,SUNIL SAVLO KERKAR,M,GEN,30,IND,97,9
S05,Goa,3,2017,North Goa,14,St. Andre,GEN,LEOCARDIO A. D. MONTEIRO,M,GEN,54,GSRP,47,10
S05,Goa,3,2017,North Goa,14,St. Andre,GEN,ASHWIN MENINO ROSARIO,M,GEN,30,IND,29,11
S05,Goa,3,2017,North Goa,15,Cumbarjua,GEN,PANDURANG MADKAIKAR,M,ST,53,BJP,12395,1
S05,Goa,3,2017,North Goa,15,Cumbarjua,GEN,XAVIER FIALHO,M,GEN,37,INC,3961,2
S05,Goa,3,2017,North Goa,15,Cumbarjua,GEN,PRAKASH DATTARAM NAIK,M,GEN,54,AAAP,2394,3
S05,Goa,3,2017,North Goa,15,Cumbarjua,GEN,VISHAL SHAMBU VOLVOIKAR,M,GEN,43,IND,990,4
S05,Goa,3,2017,North Goa,15,Cumbarjua,GEN,PRASAD HARMALKAR,M,GEN,45,IND,468,5
S05,Goa,3,2017,North Goa,15,Cumbarjua,GEN,None of the Above,NULL,NULL,NULL,NOTA,348,6
S05,Goa,3,2017,North Goa,16,Maem,GEN,PRAVIN  ZANTYE,M,GEN,50,BJP,12430,1
S05,Goa,3,2017,North Goa,16,Maem,GEN,SANTOSH KUMAR SAWANT,M,GEN,43,INC,7456,2
S05,Goa,3,2017,North Goa,16,Maem,GEN,ATMARAM VAMAN GAONKER,M,GEN,50,GSM,2317,3
S05,Goa,3,2017,North Goa,16,Maem,GEN,SUBHASH NARSINHA KINALKAR,M,GEN,39,NCP,528,4
S05,Goa,3,2017,North Goa,16,Maem,GEN,AJEETSINGH VAMANRAO RANE,M,GEN,50,AAAP,525,5
S05,Goa,3,2017,North Goa,16,Maem,GEN,None of the Above,NULL,NULL,NULL,NOTA,377,6
S05,Goa,3,2017,North Goa,16,Maem,GEN,PRABHAKAR LAXIMAN GAONKAR,M,GEN,46,IND,174,7
S05,Goa,3,2017,North Goa,16,Maem,GEN,DEEPKUMAR D MAPARI,M,GEN,34,IND,159,8
S05,Goa,3,2017,North Goa,16,Maem,GEN,ASHOK ANANT GAONKAR,M,GEN,57,IND,142,9
S05,Goa,3,2017,North Goa,17,Sanquelim,GEN,DR. PRAMOD PANDURANG SAWANT,M,GEN,43,BJP,10058,1
S05,Goa,3,2017,North Goa,17,Sanquelim,GEN,DHARMESH SAGLANI,M,GEN,41,INC,7927,2
S05,Goa,3,2017,North Goa,17,Sanquelim,GEN,SURESH AMONKAR,M,GEN,65,GSM,3831,3
S05,Goa,3,2017,North Goa,17,Sanquelim,GEN,PRATAP PRABHAKAR GAUNS,M,GEN,53,NCP,857,4
S05,Goa,3,2017,North Goa,17,Sanquelim,GEN,MILIND GAUNS,M,GEN,41,AAAP,408,5
S05,Goa,3,2017,North Goa,17,Sanquelim,GEN,None of the Above,NULL,NULL,NULL,NOTA,329,6
S05,Goa,3,2017,North Goa,17,Sanquelim,GEN,MAHESH SHANTARAM PARAB,M,GEN,43,IND,218,7
S05,Goa,3,2017,North Goa,17,Sanquelim,GEN,MOULALI SHAIKH,M,GEN,46,GSRP,72,8
S05,Goa,3,2017,North Goa,18,Poriem,GEN,PRATAPSINGH R RANE,M,GEN,78,INC,14977,1
S05,Goa,3,2017,North Goa,18,Poriem,GEN,VISHWAJIT KRISHNARAO RANE,M,GEN,44,BJP,10911,2
S05,Goa,3,2017,North Goa,18,Poriem,GEN,None of the Above,NULL,NULL,NULL,NOTA,552,3
S05,Goa,3,2017,North Goa,18,Poriem,GEN,SUHAS GAJANAN NAIK,M,GEN,53,MAG,469,4
S05,Goa,3,2017,North Goa,18,Poriem,GEN,SITARAM ANANT GAWAS,M,GEN,48,AAAP,403,5
S05,Goa,3,2017,North Goa,18,Poriem,GEN,AJIT SADANAND MHALSHEKAR,M,GEN,42,IND,284,6
S05,Goa,3,2017,North Goa,19,Valpoi,GEN,VISHWAJIT PRATAPSINGH RANE,M,GEN,45,INC,13493,1
S05,Goa,3,2017,North Goa,19,Valpoi,GEN,SATYAVIJAY SUBRAI NAIK,M,GEN,55,BJP,7815,2
S05,Goa,3,2017,North Goa,19,Valpoi,GEN,VIJAY ATMARAM GAONKAR,M,GEN,41,MAG,3246,3
S05,Goa,3,2017,North Goa,19,Valpoi,GEN,ASHISH V. KANEKAR,M,GEN,36,AAAP,410,4
S05,Goa,3,2017,North Goa,19,Valpoi,GEN,None of the Above,NULL,NULL,NULL,NOTA,362,5
S05,Goa,3,2017,South Goa,20,Priol,GEN,GOVIND GAUDE,M,GEN,45,IND,15149,1
S05,Goa,3,2017,South Goa,20,Priol,GEN,PANDURANG ALIAS DEEPAK MADHAV DHAVALIKAR,M,GEN,58,MAG,10463,2
S05,Goa,3,2017,South Goa,20,Priol,GEN,DR. DATTARAM B. DESSAI,M,GEN,64,AAAP,456,3
S05,Goa,3,2017,South Goa,20,Priol,GEN,None of the Above,NULL,NULL,NULL,NOTA,448,4
S05,Goa,3,2017,South Goa,20,Priol,GEN,RAMKRISHNA B. JALMI,M,ST,42,INC,429,5
S05,Goa,3,2017,South Goa,21,Ponda,GEN,RAVI SITARAM NAIK,M,GEN,70,INC,9502,1
S05,Goa,3,2017,South Goa,21,Ponda,GEN,SUNIL DESAI,M,GEN,56,BJP,6492,2
S05,Goa,3,2017,South Goa,21,Ponda,GEN,RAJESH VEREKAR,M,GEN,42,IND,4529,3
S05,Goa,3,2017,South Goa,21,Ponda,GEN,LAVOO MAMLEDAR,M,GEN,60,MAG,3796,4
S05,Goa,3,2017,South Goa,21,Ponda,GEN,MULLA MANSUR MUZAWAR,M,GEN,37,AAAP,522,5
S05,Goa,3,2017,South Goa,21,Ponda,GEN,None of the Above,NULL,NULL,NULL,NOTA,254,6
S05,Goa,3,2017,South Goa,22,Siroda,GEN,SUBHASH ANKUSH SHIRODKAR,M,GEN,64,INC,11156,1
S05,Goa,3,2017,South Goa,22,Siroda,GEN,MAHADEV NARAYAN NAIK,M,GEN,58,BJP,6286,2
S05,Goa,3,2017,South Goa,22,Siroda,GEN,ABHAY RAMCHANDRA PRABHU,M,GEN,45,MAG,5815,3
S05,Goa,3,2017,South Goa,22,Siroda,GEN,MOLU ANAND VELIP,M,GEN,42,AAAP,586,4
S05,Goa,3,2017,South Goa,22,Siroda,GEN,NILESH GOVIND GAONKAR,M,GEN,35,IND,447,5
S05,Goa,3,2017,South Goa,22,Siroda,GEN,None of the Above,NULL,NULL,NULL,NOTA,194,6
S05,Goa,3,2017,South Goa,22,Siroda,GEN,DIYA CHANDRAKANT SHETKAR,F,GEN,39,IND,140,7
S05,Goa,3,2017,South Goa,23,Marcaim,GEN,RAMKRISHNA ALIAS SUDIN DHAVALIKAR,M,GEN,60,MAG,17093,1
S05,Goa,3,2017,South Goa,23,Marcaim,GEN,PRADEEP PUNDALIK SHET,M,GEN,51,BJP,3413,2
S05,Goa,3,2017,South Goa,23,Marcaim,GEN,URMILA ALIAS VINDIKSHA VINOD NAIK,F,GEN,40,INC,1259,3
S05,Goa,3,2017,South Goa,23,Marcaim,GEN,SUREL DATTA TILVE,M,GEN,32,AAAP,971,4
S05,Goa,3,2017,South Goa,23,Marcaim,GEN,None of the Above,NULL,NULL,NULL,NOTA,376,5
S05,Goa,3,2017,South Goa,23,Marcaim,GEN,HANUMANT VASANT NAIK,M,GEN,49,IND,244,6
S05,Goa,3,2017,South Goa,24,Mormugao,GEN,MILIND SAGUN NAIK,M,GEN,54,BJP,8466,1
S05,Goa,3,2017,South Goa,24,Mormugao,GEN,SANKALP AMONKAR,M,GEN,41,INC,8326,2
S05,Goa,3,2017,South Goa,24,Mormugao,GEN,GIOVANNI KARL VAZ,M,GEN,53,AAAP,267,3
S05,Goa,3,2017,South Goa,24,Mormugao,GEN,None of the Above,NULL,NULL,NULL,NOTA,151,4
S05,Goa,3,2017,South Goa,24,Mormugao,GEN,SANJAY NAIK,M,GEN,39,SHS,51,5
S05,Goa,3,2017,South Goa,24,Mormugao,GEN,PARASHURAM UMAJI SONURLEKAR,M,GEN,35,IND,48,6
S05,Goa,3,2017,South Goa,24,Mormugao,GEN,MARIA LIBERATA MENDONCA,F,GEN,37,IND,31,7
S05,Goa,3,2017,South Goa,25,Vasco-da-gama,GEN,JOSE LUIS CARLOS ALMEIDA,M,GEN,53,BJP,8765,1
S05,Goa,3,2017,South Goa,25,Vasco-da-gama,GEN,KRISHNA (DAJI) V SALKAR,M,GEN,46,IND,7414,2
S05,Goa,3,2017,South Goa,25,Vasco-da-gama,GEN,JOSE FILIPE DE SOUSA,M,GEN,60,NCP,4202,3
S05,Goa,3,2017,South Goa,25,Vasco-da-gama,GEN,SAIFULA KHAN,M,GEN,45,INC,3737,4
S05,Goa,3,2017,South Goa,25,Vasco-da-gama,GEN,LORETTA SHREEDHARAN,F,GEN,62,AAAP,928,5
S05,Goa,3,2017,South Goa,25,Vasco-da-gama,GEN,MANESH CHANDRAKANT AROLKAR,M,GEN,47,MAG,654,6
S05,Goa,3,2017,South Goa,25,Vasco-da-gama,GEN,None of the Above,NULL,NULL,NULL,NOTA,263,7
S05,Goa,3,2017,South Goa,25,Vasco-da-gama,GEN,GANDHI HENRIQUES,M,GEN,68,IND,77,8
S05,Goa,3,2017,South Goa,25,Vasco-da-gama,GEN,CHANDRASHEKHER VAST,M,GEN,49,NGRF,59,9
S05,Goa,3,2017,South Goa,26,Dabolim,GEN,MAUVIN HELIODORO GODINHO,M,GEN,57,BJP,7234,1
S05,Goa,3,2017,South Goa,26,Dabolim,GEN,PREMANAND NANOSKAR,M,GEN,40,MAG,4740,2
S05,Goa,3,2017,South Goa,26,Dabolim,GEN,FRANCISCO JOSE NUNES,M,GEN,53,INC,2752,3
S05,Goa,3,2017,South Goa,26,Dabolim,GEN,VASANT (GOPI) NAIK,M,GEN,47,AAAP,1117,4
S05,Goa,3,2017,South Goa,26,Dabolim,GEN,KRITESH NAIK GAUNKAR,M,GEN,47,NCP,1043,5
S05,Goa,3,2017,South Goa,26,Dabolim,GEN,None of the Above,NULL,NULL,NULL,NOTA,168,6
S05,Goa,3,2017,South Goa,26,Dabolim,GEN,KENNETH IAN STEWART SILVEIRA,M,GEN,34,IND,130,7
S05,Goa,3,2017,South Goa,26,Dabolim,GEN,TARA GOVIND KERKAR,F,GEN,61,IND,124,8
S05,Goa,3,2017,South Goa,26,Dabolim,GEN,PREETAM KELUSKAR,M,GEN,30,IND,109,9
S05,Goa,3,2017,South Goa,26,Dabolim,GEN,SURESH BARVE,M,GEN,35,NGRF,56,10
S05,Goa,3,2017,South Goa,27,Cortalim,GEN,ALINA SALDANHA,F,GEN,64,BJP,5666,1
S05,Goa,3,2017,South Goa,27,Cortalim,GEN,ANTONIO VAS,M,GEN,52,IND,5148,2
S05,Goa,3,2017,South Goa,27,Cortalim,GEN,GILBERT MARIANO RODRIGUES,M,GEN,38,INC,4326,3
S05,Goa,3,2017,South Goa,27,Cortalim,GEN,NELLY RODRIGUES,F,GEN,56,GVP,3380,4
S05,Goa,3,2017,South Goa,27,Cortalim,GEN,OLENCIO SIMOES,M,GEN,30,AAAP,2482,5
S05,Goa,3,2017,South Goa,27,Cortalim,GEN,RAMAKANT BORKAR,M,GEN,54,UGP,1708,6
S05,Goa,3,2017,South Goa,27,Cortalim,GEN,SHARAN METI,M,GEN,40,GSRP,258,7
S05,Goa,3,2017,South Goa,27,Cortalim,GEN,None of the Above,NULL,NULL,NULL,NOTA,210,8
S05,Goa,3,2017,South Goa,27,Cortalim,GEN,MIGUEL ANTONIO RODRIGUES,M,GEN,41,IND,177,9
S05,Goa,3,2017,South Goa,27,Cortalim,GEN,SUMAN SHARMA,F,GEN,41,MAG,75,10
S05,Goa,3,2017,South Goa,27,Cortalim,GEN,GILROY COSTA,M,GEN,42,GoPrP,56,11
S05,Goa,3,2017,South Goa,28,Nuvem,GEN,WILFRED D SA,M,GEN,49,INC,9967,1
S05,Goa,3,2017,South Goa,28,Nuvem,GEN,FRANCISCO XAVIER PACHECO,M,GEN,52,GSRP,4307,2
S05,Goa,3,2017,South Goa,28,Nuvem,GEN,MARIANO GODINHO,M,GEN,63,AAAP,3389,3
S05,Goa,3,2017,South Goa,28,Nuvem,GEN,VINCENT RODRIGUES,M,GEN,58,NCP,2880,4
S05,Goa,3,2017,South Goa,28,Nuvem,GEN,DINESH BANDODKAR,M,GEN,58,IND,664,5
S05,Goa,3,2017,South Goa,28,Nuvem,GEN,None of the Above,NULL,NULL,NULL,NOTA,240,6
S05,Goa,3,2017,South Goa,29,Curtorim,GEN,ALEIXO REGINALDO LOURENCO,M,GEN,47,INC,12841,1
S05,Goa,3,2017,South Goa,29,Curtorim,GEN,ARTHUR D’SILVA,M,GEN,53,BJP,5144,2
S05,Goa,3,2017,South Goa,29,Curtorim,GEN,EDWIN DOMNIC VAZ,M,GEN,38,AAAP,2711,3
S05,Goa,3,2017,South Goa,29,Curtorim,GEN,None of the Above,NULL,NULL,NULL,NOTA,249,4
S05,Goa,3,2017,South Goa,29,Curtorim,GEN,CONCEICAO DIAS,M,GEN,50,MAG,240,5
S05,Goa,3,2017,South Goa,29,Curtorim,GEN,JOSE PAULO FERNANDES,M,GEN,56,IND,118,6
S05,Goa,3,2017,South Goa,30,Fatorda,GEN,VIJAI SARDESAI,M,GEN,46,GFP,10516,1
S05,Goa,3,2017,South Goa,30,Fatorda,GEN,DAMU G. NAIK,M,GEN,45,BJP,9182,2
S05,Goa,3,2017,South Goa,30,Fatorda,GEN,RANJIT COTTA CARVALHO,M,GEN,48,AAAP,1479,3
S05,Goa,3,2017,South Goa,30,Fatorda,GEN,JOSE D SILVA,M,GEN,41,INC,1414,4
S05,Goa,3,2017,South Goa,30,Fatorda,GEN,None of the Above,NULL,NULL,NULL,NOTA,220,5
S05,Goa,3,2017,South Goa,30,Fatorda,GEN,D. S. NAIK (DILIP),M,GEN,42,MAG,155,6
S05,Goa,3,2017,South Goa,30,Fatorda,GEN,AVIN VISHWANATH NAIK,M,GEN,41,IND,72,7
S05,Goa,3,2017,South Goa,31,Margao,GEN,DIGAMBAR VASANT KAMAT,M,GEN,62,INC,12105,1
S05,Goa,3,2017,South Goa,31,Margao,GEN,SHARMAD RAITURKAR,M,GEN,39,BJP,7929,2
S05,Goa,3,2017,South Goa,31,Margao,GEN,SANTOSH RAITURKAR,M,GEN,64,AAAP,1832,3
S05,Goa,3,2017,South Goa,31,Margao,GEN,None of the Above,NULL,NULL,NULL,NOTA,271,4
S05,Goa,3,2017,South Goa,31,Margao,GEN,JAYESH RAGHUNATH NAIK,M,GEN,43,MAG,216,5
S05,Goa,3,2017,South Goa,32,Benaulim,GEN,CHURCHILL ALEMAO,M,GEN,67,NCP,9373,1
S05,Goa,3,2017,South Goa,32,Benaulim,GEN,ROYLA CLARINA FERNANDES,F,GEN,37,AAAP,4182,2
S05,Goa,3,2017,South Goa,32,Benaulim,GEN,CAETANO ROSARIO SILVA,M,GEN,57,IND,3995,3
