loanId,decision,isTier1,isRented,isMale,isSelfEmp,hasProofIncome,isMarried,isGrad,hasLoans,hasBankSavings,age,yrsAtAdd,yrsAtJob,monthlyExpenses,totalIncome,disposIncome,marketValHome,oldEMI,amntRequired,termRequired,downPayment,bankSavings,calcEMI,emiToTotInc,emiToDispInc,totEMItoTotInc,ltv,ltv_register,propDownPay,disposIncome_s,marketValHome_s,amntRequired_s,bankSavings_s,calcEMI_s,oldEMI_s
AMR-1NYI-659839,1,0,0,1,0,0,1,1,1,1,31,10,1,9558,18012,8455,1500000,2365,150000,60,120000,4010,4142.839844,23.00044328,48.99869715,36.13057875,10,56,0.444444444,0.8455,1.5,1.5,0.401,0.414283984,0.2365
AMR-ZCWD-979452,0,0,1,0,0,0,1,0,0,0,44,7,8,12614,36040,23426,500000,0,200000,84,2700000,0,4685.189941,12.99997209,19.99995706,12.99997209,40,7,0.931034483,2.3426,0.5,2,0,0.468518994,0
AMR-79LA-503464,1,0,1,1,1,1,1,1,0,1,36,3,7,21201,38475,17275,3437500,0,550000,180,2127500,262774,8464.519531,22.00005076,48.99866588,22.00005076,16,21,0.7945845,1.7275,3.4375,5.5,26.2774,0.846451953,0
AMR-H7XU-844395,1,0,1,0,1,0,1,0,0,0,34,7,6,10018,23085,13067,600000,0,450000,180,50000,0,6925.52002,30.00008672,53.00007668,30.00008672,75,75,0.1,1.3067,0.6,4.5,0,0.692552002,0
AMR-TBCX-548314,1,0,0,0,1,1,1,0,0,0,45,20,20,19860,29238,9378,1818182,0,200000,60,600000,0,4970.52002,17.00020528,53.00191959,17.00020528,10.9999989,25,0.75,0.9378,1.818182,2,0,0.497052002,0
AMR-002F-613350,1,0,0,0,0,0,1,0,0,0,48,47,3,6080,14094,8014,1250000,0,200000,84,411000,0,4087.159912,28.99928985,51.00024847,28.99928985,16,16,0.672667758,0.8014,1.25,2,0,0.408715991,0
AMR-ED1I-552779,1,0,0,0,1,0,0,0,0,0,22,20,2,11533,24027,12494,1666667,0,400000,84,1600000,0,9370.379883,38.99937521,74.9990386,38.99937521,23.9999952,72,0.8,1.2494,1.666667,4,0,0.937037988,0
AMR-VFY1-729829,1,0,0,0,1,0,1,0,0,0,57,20,15,11415,41380,29965,3225806,0,1000000,120,1000000,0,17379.76953,42.00040969,58.00023204,42.00040969,31.00000434,50,0.5,2.9965,3.225806,10,0,1.737976953,0
AMR-QKSD-490166,1,0,0,0,1,0,1,0,0,0,32,12,5,17155,30963,13808,3333333,0,500000,84,1500000,0,10217.90039,33.00035652,73.99985799,33.00035652,15.0000015,59,0.75,1.3808,3.333333,5,0,1.021790039,0
AMR-RD62-697333,0,0,0,0,1,0,1,0,0,0,54,53,30,5178,20710,15533,303030,0,100000,60,350000,0,2485.26001,12.00028976,15.9998713,12.00028976,33.000033,22,0.777777778,1.5533,0.30303,1,0,0.248526001,0
BHP-9470-541137,1,0,0,0,1,0,1,0,1,0,51,25,30,18750,36364,17614,1555556,2316,700000,180,275000,0,11272.9502,31.00030303,63.99994434,37.36923934,44.99998714,72,0.282051282,1.7614,1.555556,7,0,1.12729502,0.2316
BHP-R2H3-812619,1,0,0,0,0,0,1,0,0,0,31,1,3,5585,10260,4675,727273,0,240000,180,64000,0,3693.610107,36.00009851,79.00770283,36.00009851,32.99998763,89,0.210526316,0.4675,0.727273,2.4,0,0.369361011,0
BHP-789U-977432,1,0,1,0,1,0,1,0,0,0,53,12,10,7821,14452,6631,972222,0,350000,180,25000,0,5636.470215,39.00131618,85.00181292,39.00131618,36.00000823,93,0.066666667,0.6631,0.972222,3.5,0,0.563647021,0
BHP-HZTR-876435,1,0,0,0,0,0,1,1,0,0,46,2,15,4722,11952,7230,806452,0,250000,84,450000,0,5856.490234,49.00008563,81.00263118,49.00008563,30.99998512,65,0.642857143,0.723,0.806452,2.5,0,0.585649023,0
BHP-YKEP-548435,0,0,0,0,1,0,1,0,0,0,49,10,20,38400,201500,163100,703125,0,500000,60,625000,0,12426.29004,6.16689332,7.618816701,6.16689332,71.11111111,71.1111145,0.555555556,16.31,0.703125,5,0,1.242629004,0
BHP-6Z99-913153,1,0,1,0,0,1,1,0,0,0,52,2,31,11970,25650,13680,1666667,0,800000,180,200000,0,12312.03027,48.00011803,90.0002213,48.00011803,47.9999904,48,0.2,1.368,1.666667,8,0,1.231203027,0
BHP-T720-684505,1,0,1,1,1,0,1,1,0,0,29,1,16,24981,71820,46839,2413793,0,700000,180,950000,0,10773.03027,15.00004215,23.00012868,15.00004215,29.00000124,30,0.575757576,4.6839,2.413793,7,0,1.077303027,0
BHP-IK29-596326,1,0,1,0,1,1,1,0,0,0,33,3,25,20512,41595,21082,1298701,0,1000000,180,390000,0,15390.04004,36.99973564,73.00085399,36.99973564,77.00001771,77,0.28057554,2.1082,1.298701,10,0,1.539004004,0
BHP-Y16D-728973,1,0,0,0,1,1,1,0,1,0,28,10,10,17806,37537,19731,1818182,1941,1000000,180,300000,0,15390.04004,40.99965378,77.99929065,46.17055183,54.9999945,79,0.230769231,1.9731,1.818182,10,0,1.539004004,0.1941
BHP-DR6B-582880,1,0,1,0,0,1,1,1,0,0,42,3,14,17041,32745,15704,2083333,0,1000000,180,650000,0,15390.04004,46.99966419,98.00076439,46.99966419,48.00000768,48,0.393939394,1.5704,2.083333,10,0,1.539004004,0
BHP-40L2-642356,1,0,1,0,1,0,1,1,1,0,46,8,15,10750,28856,18106,1276596,1212,600000,180,162000,0,9234.030273,32.00038215,50.99983582,36.20054849,46.9999906,78,0.212598425,1.8106,1.276596,6,0,0.923403027,0.1212
BHP-OR97-497281,1,0,1,0,0,0,1,1,0,0,56,1,10,7975,18468,10493,1071429,0,600000,180,150000,0,9234.030273,50.00016392,88.00181334,50.00016392,55.9999776,56,0.2,1.0493,1.071429,6,0,0.923403027,0
BHP-C1SL-615955,1,0,0,1,0,0,1,0,1,0,48,5,22,38040,64125,26085,3703704,15602,1000000,180,950000,0,15390.04004,24.00006244,58.99957845,48.33066673,26.99999784,26,0.487179487,2.6085,3.703704,10,0,1.539004004,1.5602
BHP-L60P-864808,1,0,1,0,1,0,1,0,0,0,40,5,15,15885,28500,12615,2777778,0,500000,180,164000,0,7695.02002,27.00007024,60.99896964,27.00007024,17.99999856,35,0.246987952,1.2615,2.777778,5,0,0.769502002,0
BHP-R3K9-898433,1,0,0,0,1,0,1,1,0,0,43,15,30,10963,21161,10198,1100000,0,550000,180,207000,0,8464.519531,40.00056487,83.00176046,40.00056487,50,50,0.27344782,1.0198,1.1,5.5,0,0.846451953,0
CHN-T21O-866226,0,0,0,0,1,0,1,0,1,0,26,6,7,19403,45736,26333,1315789,9390,500000,120,800000,0,8689.879883,19.0000872,32.99996158,39.53096004,38.00001368,38,0.615384615,2.6333,1.315789,5,0,0.868987988,0.939
CHN-J63E-892624,1,0,1,0,1,1,1,1,1,0,32,30,6,26824,57000,30177,1250000,22059,1000000,180,300000,0,15390.04004,27.00007024,50.99923796,65.70007024,80,71,0.230769231,3.0177,1.25,10,0,1.539004004,2.2059
CHN-0526-904598,1,0,1,0,0,1,1,0,0,0,50,14,18,4661,18976,14315,909091,0,500000,144,150000,0,8159.609863,42.99963039,57.00041819,42.99963039,54.9999945,74,0.230769231,1.4315,0.909091,5,0,0.815960986,0
CHN-01OW-980048,1,0,0,0,0,0,0,0,0,0,30,28,10,6865,18020,11155,1111111,0,200000,84,300000,0,4685.189941,25.99994418,42.00080629,25.99994418,18.0000018,30,0.6,1.1155,1.111111,2,0,0.468518994,0
CHN-IMB1-853042,0,0,0,0,1,0,1,0,0,0,42,41,20,5504,20916,15412,1515152,0,500000,84,500000,0,11712.96973,56.0000465,75.99902496,56.0000465,32.99998944,50,0.5,1.5412,1.515152,5,0,1.171296973,0
CHN-6YDP-510752,1,0,1,0,0,0,1,1,0,0,50,25,35,5580,24181,18601,500000,0,300000,150,200000,0,4836.290039,20.00037235,26.00016149,20.00037235,60,60,0.4,1.8601,0.5,3,0,0.483629004,0
CHN-D6S7-917152,0,0,0,0,1,0,1,0,0,0,49,22,20,3518,12312,8794,500000,0,200000,180,300000,0,3078.01001,25.0000813,35.00125096,25.0000813,40,40,0.6,0.8794,0.5,2,0,0.307801001,0
CHN-UC7L-949070,0,0,0,1,1,0,1,0,0,0,26,20,5,5522,12550,7028,1875000,0,150000,84,650000,0,3513.889893,27.99912265,49.9984333,27.99912265,8,19,0.8125,0.7028,1.875,1.5,0,0.351388989,0
CHN-72UZ-627168,1,0,0,0,0,0,1,0,0,0,33,20,15,5182,27982,22800,1403509,0,800000,180,200000,0,12312.03027,43.99982229,54.00013278,43.99982229,56.99999074,57,0.2,2.28,1.403509,8,0,1.231203027,0
DEL-GF2M-704700,1,1,0,0,1,0,1,0,0,0,44,20,0,7532,56488,48957,757576,0,500000,180,67000,0,7343.5,13.00010622,14.99989787,13.00010622,65.99997888,88,0.118165785,4.8957,0.757576,5,0,0.73435,0
DEL-IA79-499553,1,1,0,0,0,1,1,0,0,0,40,10,16,10779,22253,11474,943396,0,500000,180,500000,0,7343.5,33.00004494,64.00122015,33.00004494,53.00001272,50,0.5,1.1474,0.943396,5,0,0.73435,0
DEL-466G-536331,0,1,0,1,0,0,1,0,0,0,40,12,5,7092,19117,12025,400000,0,300000,60,100000,0,7455.77002,39.00073243,62.00224548,39.00073243,75,75,0.25,1.2025,0.4,3,0,0.745577002,0
DEL-6ZFL-641274,1,1,0,0,1,0,0,0,1,0,28,25,6,30130,51090,20960,1818182,2304,800000,84,1000000,0,16348.63965,31.99968614,77.99923496,36.50937492,43.9999956,44,0.555555556,2.096,1.818182,8,0,1.634863965,0.2304
DEL-UP94-924007,1,1,1,0,1,0,1,1,0,0,30,2,8,7997,23190,15193,1363636,0,600000,180,150000,0,8812.200195,38.00000084,58.0017126,38.00000084,44.00001173,80,0.2,1.5193,1.363636,6,0,0.88122002,0
DEL-YI94-746883,1,1,0,0,0,1,1,0,0,0,29,5,15,5829,13004,7175,801887,0,425000,180,375000,0,6241.97998,48.00046125,86.99623666,48.00046125,52.99998628,53,0.46875,0.7175,0.801887,4.25,0,0.624197998,0
DEL-D4F9-730606,1,1,0,0,1,0,1,0,0,0,42,10,19,13689,29793,16104,1500000,0,600000,84,893350,0,11917.24023,40.00013505,74.00174015,40.00013505,40,40,0.59821877,1.6104,1.5,6,0,1.191724023,0
DEL-H08R-731210,0,1,1,0,0,0,1,0,0,0,37,1,5,6603,16728,10125,602410,0,500000,180,100000,0,7695.02002,46.00083704,76.00019772,46.00083704,82.9999502,83,0.166666667,1.0125,0.60241,5,0,0.769502002,0
DEL-5XPK-732056,0,1,1,0,0,1,0,0,0,0,28,2,5,9842,38475,28633,1038961,0,800000,180,200000,0,12312.03027,32.00007868,42.99944216,32.00007868,77.00000289,80,0.2,2.8633,1.038961,8,0,1.231203027,0
DEL-NDOH-969171,1,1,0,1,0,0,1,1,0,0,36,13,2,2858,8812,5954,508475,0,300000,180,211850,0,4406.100098,50.00113592,74.002353,50.00113592,58.99995083,59,0.413890788,0.5954,0.508475,3,0,0.44061001,0
DEL-K23U-890452,1,1,1,0,1,0,1,0,1,0,38,3,16,19286,32638,13352,1194030,9028,800000,180,250000,0,11749.61035,35.9997866,87.99887921,63.66079524,66.99999163,76,0.238095238,1.3352,1.19403,8,0,1.174961035,0.9028
DEL-V0FC-770829,1,1,0,1,0,0,1,0,0,0,48,20,1,7268,17911,10643,746269,0,500000,180,250000,0,7343.5,40.99994417,68.99840271,40.99994417,66.99996918,67,0.333333333,1.0643,0.746269,5,0,0.73435,0
DEL-4N2N-930422,1,1,1,0,0,1,1,1,0,0,31,28,3,9256,22677,13421,559719,0,447775,180,114083,0,6576.470215,29.00061831,49.00134278,29.00061831,79.99996427,80,0.203045965,1.3421,0.559719,4.47775,0,0.657647021,0
DEL-SKS7-668906,1,1,0,0,1,0,1,0,1,0,47,20,20,9028,18768,9741,649351,4133,500000,180,150000,0,7695.02002,41.00074605,78.99620182,63.02227206,76.99995842,77,0.230769231,0.9741,0.649351,5,0,0.769502002,0.4133
DEL-8I1P-966744,1,1,0,0,1,0,1,0,0,0,40,12,20,10297,26361,16064,833333,0,700000,180,150000,0,10280.91016,39.00045581,63.99968972,39.00045581,84.0000336,82,0.176470588,1.6064,0.833333,7,0,1.028091016,0
DEL-PJ1G-774806,1,1,1,0,0,1,1,0,0,0,33,4,4,12441,30029,17589,1600000,0,800000,180,800000,0,12312.03027,41.00046713,69.9984665,41.00046713,50,0,0.5,1.7589,1.6,8,0,1.231203027,0
DEL-54E9-930391,1,1,0,0,1,0,1,0,0,0,49,10,24,14063,25490,11426,1290323,0,400000,60,897900,0,9941.030273,38.99972646,87.0035907,38.99972646,30.99998993,31,0.691809847,1.1426,1.290323,4,0,0.994103027,0
DEL-087L-873355,0,1,0,0,0,1,1,0,0,0,48,33,23,4110,78086,73977,895522,0,600000,84,289500,0,14055.57031,18.00011566,18.99991932,18.00011566,67.00002903,67,0.325463744,7.3977,0.895522,6,0,1.405557031,0
DEL-Z48Y-799951,0,1,0,0,1,0,1,0,1,0,42,36,15,14473,42455,27982,1194030,6245,800000,180,400000,0,12312.03027,29.00018908,43.99982229,43.70988169,66.99999163,0,0.333333333,2.7982,1.19403,8,0,1.231203027,0.6245
DEL-O9YW-775415,1,1,0,0,1,0,1,0,1,0,39,7,18,9281,20028,10747,952381,1813,600000,180,350000,0,8812.200195,43.99940181,81.99683814,53.05172856,62.99999685,0,0.368421053,1.0747,0.952381,6,0,0.88122002,0.1813
DEL-TAIE-940915,1,1,1,0,0,0,1,1,0,0,34,3,3,9584,31569,21986,1403509,0,800000,180,600000,0,12312.03027,39.00038099,55.99940996,39.00038099,56.99999074,0,0.428571429,2.1986,1.403509,8,0,1.231203027,0
DEL-5I21-984881,0,1,1,0,1,0,1,0,0,0,37,10,18,10750,30000,19250,787500,0,700000,180,200000,0,10773.03027,35.91010091,55.96379363,35.91010091,88.88888889,88.8888855,0.222222222,1.925,0.7875,7,0,1.077303027,0
DEL-0N7R-508345,1,1,0,0,1,0,1,0,0,0,38,20,15,6067,12336,6269,833333,0,200000,96,650000,0,3824.290039,31.00105414,61.00319092,31.00105414,24.0000096,0,0.764705882,0.6269,0.833333,2,0,0.382429004,0
DEL-YGL6-494379,0,1,0,0,1,0,1,0,0,0,41,16,20,11000,30000,19000,1000000,0,800000,180,200000,0,12312.03027,41.04010091,64.80015933,41.04010091,80,80,0.2,1.9,1,8,0,1.231203027,0
DEL-1SWI-751742,1,1,1,0,1,0,1,0,0,0,41,1,22,13811,21228,7417,547945,0,400000,180,150000,0,6156.02002,28.99952902,82.99878683,28.99952902,73.00002738,0,0.272727273,0.7417,0.547945,4,0,0.615602002,0
DEL-W4P0-598028,1,1,0,0,1,0,1,0,0,0,32,1,15,8210,20981,12771,1600000,0,400000,180,130000,0,5874.799805,28.00057102,46.0010947,28.00057102,25,75,0.245283019,1.2771,1.6,4,0,0.58747998,0
DEL-CV43-995404,1,1,0,0,0,0,1,1,0,0,31,28,1,9771,43972,34200,1194030,0,800000,180,400000,0,12312.03027,27.99970498,36.00008852,27.99970498,66.99999163,67,0.333333333,3.42,1.19403,8,0,1.231203027,0
DEL-D49U-684885,1,1,1,0,1,0,0,0,1,0,32,3,4,9558,26196,16638,1194030,1923,800000,180,400000,0,12312.03027,46.99965748,73.99946071,54.34047287,66.99999163,0,0.333333333,1.6638,1.19403,8,0,1.231203027,0.1923
DEL-VR59-641690,1,1,0,0,1,0,1,0,0,0,51,3,30,7450,31928,24478,1111111,0,500000,180,600000,0,7343.5,23.00018792,30.00040853,23.00018792,45.0000045,0,0.545454545,2.4478,1.111111,5,0,0.73435,0
DEL-M3S3-715455,1,1,0,0,0,1,0,0,0,0,26,24,3,19877,61840,41963,2424242,0,800000,180,1630000,0,11749.61035,19.00001674,27.99992935,19.00001674,33.00000578,33,0.670781893,4.1963,2.424242,8,0,1.174961035,0
DEL-0P62-545018,1,1,0,0,1,0,1,1,0,0,39,7,13,16807,35482,18674,794300,0,635440,120,164560,0,10644.4502,29.9995778,57.00144691,29.9995778,80,79,0.2057,1.8674,0.7943,6.3544,0,1.06444502,0
DEL-2K92-625871,1,1,1,0,0,0,1,0,0,0,31,2,5,8939,12239,3300,1000000,0,200000,180,800000,0,2937.399902,24.00032603,89.01211825,24.00032603,20,0,0.8,0.33,1,2,0,0.29373999,0
DEL-516Q-784905,1,1,1,0,1,0,1,1,0,0,35,4,12,23801,42455,18655,1000000,0,800000,180,200000,0,12312.03027,29.00018908,65.99855413,29.00018908,80,0,0.2,1.8655,1,8,0,1.231203027,0
DEL-0W46-595387,1,1,1,1,0,0,1,0,0,0,55,5,33,13822,24514,10692,1000000,0,600000,120,400000,0,10050.79004,41.00020412,94.00289973,41.00020412,60,0,0.4,1.0692,1,6,0,1.005079004,0
DEL-3LAS-701447,1,1,0,0,1,0,1,0,0,0,27,23,7,11843,55268,43425,1724138,0,500000,60,126000,0,12159.03027,22.00012715,28.00006971,22.00012715,28.99999884,80,0.201277955,4.3425,1.724138,5,0,1.215903027,0
DEL-4180-786186,1,1,0,0,0,0,1,0,0,0,44,30,21,12589,19583,6994,909091,0,400000,180,500000,0,5874.799805,29.99948836,83.99770953,29.99948836,43.9999956,0,0.555555556,0.6994,0.909091,4,0,0.58747998,0
DEL-9804-812865,0,1,0,0,1,0,1,0,0,0,35,26,12,11900,45000,33100,2000000,0,800000,180,1200000,0,12312.03027,27.36006727,37.19646608,27.36006727,40,40,0.6,3.31,2,8,0,1.231203027,0
DEL-JN0Q-823508,1,1,0,0,1,0,1,0,0,0,27,2,7,18454,29427,10973,595676,0,440800,180,155933,0,6474.029785,22.00030511,58.99963351,22.00030511,73.99995971,74,0.261311173,1.0973,0.595676,4.408,0,0.647402979,0
DEL-I1H8-737661,0,1,0,0,1,0,1,0,0,0,33,12,20,17608,30000,12392,675000,0,600000,180,300000,0,9234.030273,30.78010091,74.51606095,30.78010091,88.88888889,88.8888855,0.333333333,1.2392,0.675,6,0,0.923403027,0
DEL-816W-559135,1,1,1,0,0,0,1,1,0,0,41,1,8,11745,26802,15057,1212121,0,800000,120,419400,0,13401.0498,50.00018582,89.00212396,50.00018582,66.00001155,66,0.343939642,1.5057,1.212121,8,0,1.34010498,0
DEL-X79P-494669,1,1,0,0,0,0,1,0,0,0,33,30,2,10636,29780,19144,1012658,0,800000,120,200000,0,13401.0498,45.00016724,70.00130487,45.00016724,79.00001778,80,0.2,1.9144,1.012658,8,0,1.34010498,0
DEL-09QJ-963490,1,1,0,0,1,0,1,0,0,0,40,5,20,9681,19157,9475,895522,0,600000,180,300000,0,8812.200195,45.99989662,93.0047514,45.99989662,67.00002903,0,0.333333333,0.9475,0.895522,6,0,0.88122002,0
DEL-779D-502581,0,1,0,0,1,0,1,0,0,1,50,15,15,7000,20000,13000,460625,0,550000,180,120000,60000,8464.519531,42.32259766,65.1116887,42.32259766,119.4029851,119.4029846,0.179104478,1.3,0.460625,5.5,6,0.846451953,0
DEL-5213-971092,1,1,0,0,1,0,1,0,0,0,40,38,15,11330,23080,11750,550000,0,440000,180,110000,0,6462.279785,27.99947914,54.99812583,27.99947914,80,80,0.2,1.175,0.55,4.4,0,0.646227979,0
DEL-1U3Y-612359,1,1,1,0,1,0,1,0,0,0,41,8,19,10147,19889,9741,1203704,0,650000,180,550000,0,9546.549805,47.99914427,98.00379637,47.99914427,53.99998671,0,0.458333333,0.9741,1.203704,6.5,0,0.95465498,0
DEL-457O-534090,1,1,0,1,0,0,0,0,0,0,32,3,1,7185,22386,15200,1454545,0,800000,180,650000,0,12312.03027,54.99879511,81.00019917,54.99879511,55.00001719,0,0.448275862,1.52,1.454545,8,0,1.231203027,0
DEL-06WL-866501,1,1,0,0,1,0,1,0,0,0,42,30,15,11880,32400,20520,1194030,0,800000,180,400000,0,12312.03027,38.00009344,60.00014753,38.00009344,66.99999163,0,0.333333333,2.052,1.19403,8,0,1.231203027,0
DEL-PR38-492198,1,1,0,0,0,0,1,0,0,0,51,1,22,7942,16559,8617,1150000,0,575000,180,575000,0,8445.030273,50.99963931,98.00429701,50.99963931,50,50,0.5,0.8617,1.15,5.75,0,0.844503027,0
DEL-T61B-517711,1,1,0,0,1,0,1,0,0,1,44,10,20,9959,20797,10838,1190476,0,500000,180,700000,1000000,7695.02002,37.00062518,71.00036925,37.00062518,42.00000672,0,0.583333333,1.0838,1.190476,5,100,0.769502002,0
DEL-L9KW-662291,1,1,1,0,0,1,1,1,0,0,36,33,2,12097,27975,15878,1379310,0,800000,180,200000,0,11749.61035,42.00039446,73.99930943,42.00039446,58.0000145,80,0.2,1.5878,1.37931,8,0,1.174961035,0
DEL-069T-562771,1,1,1,0,1,1,1,0,1,0,45,2,15,46903,61560,14657,1194030,27074,800000,180,400000,0,12312.03027,20.00004918,84.00102527,63.97990623,66.99999163,0,0.333333333,1.4657,1.19403,8,0,1.231203027,2.7074
DEL-11GX-950047,1,1,1,0,1,0,1,0,0,0,38,3,25,14704,31569,16866,1052632,0,800000,180,250000,0,12312.03027,39.00038099,72.99911226,39.00038099,75.9999696,0,0.238095238,1.6866,1.052632,8,0,1.231203027,0
DEL-9G0K-550508,1,1,0,1,0,0,1,1,0,0,47,20,15,11115,38475,27360,1290323,0,800000,180,500000,0,12312.03027,32.00007868,45.00011065,32.00007868,61.99997985,0,0.384615385,2.736,1.290323,8,0,1.231203027,0
DEL-L7M1-638833,1,1,0,0,1,0,1,1,0,0,33,3,4,12590,30127,17537,3478261,0,800000,180,200000,0,11749.61035,39.00026671,66.9989756,39.00026671,22.99999914,80,0.2,1.7537,3.478261,8,0,1.174961035,0
DEL-G110-651348,1,1,0,0,1,0,1,0,1,0,50,35,20,23165,31385,8220,403226,8414,250000,60,150000,0,6904.72998,22.00009552,83.99914818,48.80908071,61.99997024,62,0.375,0.822,0.403226,2.5,0,0.690472998,0.8414
DEL-3164-587514,1,1,1,0,1,0,1,0,0,0,31,3,12,9104,20159,11055,1206897,0,700000,180,500000,0,10280.91016,50.99910787,92.99783045,50.99910787,57.99997846,0,0.416666667,1.1055,1.206897,7,0,1.028091016,0
DEL-B76W-597413,0,1,1,0,0,1,1,1,0,0,48,1,1,22300,67000,44700,1200000,0,800000,180,400000,0,12312.03027,18.37616459,27.54369189,18.37616459,66.66666667,66.66666412,0.333333333,4.47,1.2,8,0,1.231203027,0
DEL-3BY4-537156,1,1,0,1,0,1,0,0,0,0,59,40,1,8990,21801,12811,649351,0,500000,60,150000,0,12426.29004,56.99871583,96.9970341,56.99871583,76.99995842,0,0.230769231,1.2811,0.649351,5,0,1.242629004,0
DEL-KTW7-581768,1,1,0,0,0,1,1,1,0,1,42,2,17,4695,17999,13303,1250000,0,625000,180,175000,2000000,9179.379883,50.9993882,69.00232942,50.9993882,50,78,0.21875,1.3303,1.25,6.25,200,0.917937988,0
DEL-8A3Q-591012,1,1,1,0,1,0,1,0,0,0,32,1,16,11921,26227,14306,974026,0,750000,180,370000,0,11015.25977,41.99969408,76.99748194,41.99969408,76.99999795,67,0.330357143,1.4306,0.974026,7.5,0,1.101525977,0
DEL-Y2X0-768969,0,1,1,0,0,1,0,0,0,0,30,2,3,19900,41000,21100,1163750,0,700000,180,630000,0,10773.03027,26.27568359,51.05701551,26.27568359,60.15037594,60.15037537,0.473684211,2.11,1.16375,7,0,1.077303027,0
DEL-L4OT-744762,1,1,1,1,0,1,1,0,0,0,40,1,14,19006,31569,12563,1000000,0,800000,180,200000,0,12312.03027,39.00038099,98.00231054,39.00038099,80,0,0.2,1.2563,1,8,0,1.231203027,0
DEL-E778-576430,0,1,1,0,0,1,1,0,0,0,42,20,23,8250,23367,15117,750000,0,500000,180,700000,0,7695.02002,32.93114229,50.90308937,32.93114229,66.66666667,66.66666412,0.583333333,1.5117,0.75,5,0,0.769502002,0
DEL-8BFE-623578,1,1,0,0,1,0,1,0,0,0,29,2,12,21896,40357,18461,1403509,0,800000,72,200000,0,17353.4707,42.99990263,94.000708,42.99990263,56.99999074,80,0.2,1.8461,1.403509,8,0,1.73534707,0
